chromosome	n_eur_original	n_eas_original	n_shared_raw	n_shared	n_allele_incompatible_excluded	n_source_bp_different	n_eas_allele_reversed	source_order_different	eur_original_order_sha256	paired_order_sha256	status	eur_bfile_prefix	eas_bfile_prefix
11	493922	427950	310679	310679	0	0	45269	False	eb60577d5dc5db7d4cdf64aa13f9a9335a0cb2c787b2b0af486b4415a3787836	eb60577d5dc5db7d4cdf64aa13f9a9335a0cb2c787b2b0af486b4415a3787836	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.11	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.11
12	480110	421896	302052	302052	0	0	42737	False	0a4550dc32d9244dc3a8c55298526dfb1d34af192a81a581bd55d467d01662a6	0a4550dc32d9244dc3a8c55298526dfb1d34af192a81a581bd55d467d01662a6	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.12	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.12
13	366200	317635	232772	232772	0	0	35175	False	08b3fa2d0013af2d4c6e60b0ace51c9f4485cc0ad6dfc957a26154f8f196084a	08b3fa2d0013af2d4c6e60b0ace51c9f4485cc0ad6dfc957a26154f8f196084a	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.13	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.13
14	324698	289383	203964	203964	0	0	30303	False	f70e761c2f337e56649852cd8183e5d5f47be963d654bc27653651238aca75af	f70e761c2f337e56649852cd8183e5d5f47be963d654bc27653651238aca75af	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.14	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.14
15	287001	259690	182536	182536	0	2	30267	True	97b8092766419f59d7684fe22e2d220d1ca28c27ef0efdfb94c18290b7f44ae4	97b8092766419f59d7684fe22e2d220d1ca28c27ef0efdfb94c18290b7f44ae4	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.15	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.15
16	316981	272212	193246	193246	0	0	28050	False	2995a6c0b6fc525a8ff3bbb9ffa0decacfadcc7d1acb249d9bdbf8d131870b11	2995a6c0b6fc525a8ff3bbb9ffa0decacfadcc7d1acb249d9bdbf8d131870b11	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.16	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.16
17	269222	234422	166148	166148	0	0	27154	False	46181d34785df7faa167244c1720090114b3811b3d9acae304f7fe56f7885d8b	46181d34785df7faa167244c1720090114b3811b3d9acae304f7fe56f7885d8b	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.17	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.17
18	285156	251287	182779	182779	0	0	25299	False	b638394e6d7fa891f575a1c734f3226421384e704818acd04d966ff46b5915d7	b638394e6d7fa891f575a1c734f3226421384e704818acd04d966ff46b5915d7	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.18	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.18
19	232363	204658	148658	148658	0	0	21210	False	1983d9b12b822c567fd5a685079a92553a04c790a0af3b9905380ecc058a8311	1983d9b12b822c567fd5a685079a92553a04c790a0af3b9905380ecc058a8311	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.19	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.19
20	221626	189092	135506	135506	0	0	21061	False	84867e68f2abfcf30b38e99c1046f6ed5dd29262eefca3a6977ab44052947a16	84867e68f2abfcf30b38e99c1046f6ed5dd29262eefca3a6977ab44052947a16	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.20	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.20
21	138712	121568	89744	89744	0	0	12453	False	ce94eb0df8fe4e54538acfb14c2642684c7aabae5044d4dfcdee9986c910acd9	ce94eb0df8fe4e54538acfb14c2642684c7aabae5044d4dfcdee9986c910acd9	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.21	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.21
22	141123	122150	88626	88626	0	0	13072	False	748d141301ffe7b18301276a34394209c84fc697c7236820ed4c63a7ac718e88	748d141301ffe7b18301276a34394209c84fc697c7236820ed4c63a7ac718e88	PASS	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EUR/1000G.EUR.paired.22	/Volumes/EMPTY2TB/跨祖源屈光不正遗传效应 × retinal regulatory architecture/data/interim/sldxr_reference/paired_plink_v2/EAS/1000G.EAS.paired.22
